id,5662,   usa, f, , 19520101, mr, ethan, fry, sa, evandale, 3551, 88, grove place, bobblegigbie, 07 20984124, 1295928, 4, norole
745,8055,   , f, 31, 19850821, , riley, rees, nsw, shell cove, 3046, 36, , forest lakes, , 3384403, 2, norole
746,8235,   usa, f, 27, , mr, samuel, hanson, qld, washpool, 0850, , denehy place, , 03 13736167, 3306674, 5, norole
747,3670,   hun, f, 30, 19860806, , alessandra, horansky, nsw, blanket flat, 3020, 18, castleton crescent, , 02 90071496, 6540932, 3, norole
748,2621,   usa, f, 26, 19900218, , zachary, zimmerman, nsw, terrey hills, 6167, 2, nymagee place, , 2 31985801, 9009922, 9, norole
749,3808,   usa, f, 30, 19861205, , benjamin, stewart, vic, nalangil, 2360, 45, kingscote crescent, bakers creek, 08 60260393, 2255985, 1, norole
750,9417,   ind, , 39, 19771123, , ella, shomik, nsw, wimbledon, 5000, 5, kendall place, , 02 68653194, 4413074, 3, norole
751,5152,   , f, 30, 19860424, , imogen, white, , roselands, 3825, 17, verbrugghen street, , 02 52807665, 5698278, 3, norole
752,3255,   dan, f, 34, 19820920, , stella, lagermann, nsw, condell park, 2065, 2, knox street, , 612 69405741, 2434219, 2, norole
753,445,   eng, , 37, 19790126, mr, jye, neville, nsw, cobargo, 4350, 36, broadsmith street, , 2 70403293, 8125040, 7, norole
754,109,   wel, f, , 19580728, , cooper, cnaitho, nsw, thurgoona, 6112, 6, george street, , 2 24907480, 4838871, 8, norole
755,5717,   fre, m, 29, 19870404, , teal, caillet, nsw, burraneer, 5011, 13, kanga place, , 612 41111121, 2668520, 8, norole
756,8497,   jap, , 31, 19850101, dr, liam, ichiyusai, , parramatta, 5018, 7, tristania street, , , 8999328, 6, norole
757,2762,   jew, f, 7, 20091205, , annika, gottesman, , tecoma, 3109, 27, david street, unt 7, 03 19602345, 1921169, 9, norole
758,9697, jap, f, 39, 19771208, , kahaya, lachlan, nsw, rwem, 3157, 2, ellerston avenue, uargon, 2 49250392, 6606339, 9, norole
759,6163,   ind, f, 28, 19880411, , campbell, prashanth, sa, moorook, 3335, 53, phillip avenue, , 7 65264960, 1107766, 8, norole
760,6614,   swe, f, 30, 19860303, ms, dimitri, isberg, sa, whyalla jenkins, 4350, 26, wilsmore crescent, tweed heritage caravan park, 07 66157154, 1714585, 5, norole
761,751,   unk, f, , 19061001, ms, annabelle, aaternir, vic, clayton, 3055, 25, moulden court, , 08 18535165, 4647745, 4, norole
762,7479,   ind, m, 31, 19850924, , tara, tuteja, sa, burnside, 2869, 3, wilkins street, , 7 55180373, 6429208, 6, norole
763,9081,   chi, f, 28, 19880316, ms, heath, hau, nsw, narwee, 2370, 50, blamey crescent, kurrajong, 2 80175287, 8379455, 4, norole
764,5440,   ser, , 30, 19860516, , bree, hren, nsw, cundletown, 3806, 7, antill street, , 612 26161402, 3664381, 8, norole
765,9496-dup-1, eng, m, 37, 19220603, ms, lqm, rennold, vic, koondrook, 5081, 15, jane price crescent, newton park, 618 49747643, 8979609, 0, norole
766,1307,   eng, m, 34, 19821019, , lachlan, winter, wa, dowerin, 2260, 2, howitt street, retirement village, , 3721903, 2, norole
767,641,   unk, , 28, 19880901, dr, isabelle, sclater, vic, woorndoo, 2048, 9, logue place, murrumbung, 08 71549584, 3666439, 3, norole
768,7875,   usa, f, , 19440107, , emma, gates, qld, killarney, 2085, 2, mclachlan crescent, aprtmt 34, 3 78153789, 7711326, 5, norole
769,5990,   usa, f, 41, , hon, mia, tucker, , orange, 3934, 18, anzac park, , 02 32544002, 7283489, 3, norole
770,3814,   usa, f, 34, 19820304, , madeleine, , nsw, back creek, 7018, 5, macfarland crescent, telopea park, 612 94251364, 2102510, 1, norole
771,5594,   eng, , , 19480421, , jasmine, sands, sa, onkaparinga hills, 7015, 199, northbourne avenue, , 617 34591736, 4361997, 9, norole
772,1577,   chi, m, 37, , mr, , iu, , bray park, 4383, 45, o'connor circuit, , 08 03830156, 3094145, 0, norole
773,2447,   unk, , , , ms, harry, abbitt, qld, gainsford, 4163, 2, , , 03 20912248, 2963764, 2, norole
774,1334,   unk, f, 7, , , thomas, strehovski, vic, eldorado, 5038, , kenyon circuit, yarrowonga estate, 8 94663052, 5635723, 8, norole
775,5085,   eng, f, 29, 19870916, pfc, kayla, mathaton, vic, bealiba, 3936, 50, horne place, , 08 15490276, 9920844, 5, norole
776,2443,   chi, f, 19, 19970628, ms, chloe, kuan, nsw, nimmitabel, 3124, 32, thornhill crescent, , 2 44538561, 9886992, 0, norole
777,6767,   ger, f, , 19120214, , thomas, vonettingshausen, nsw, booral, 2076, 164, clive steele avenue, knox retirement village, 07 30268855, 3814289, 1, norole
778,3941,   chi, f, 32, 19840116, , hamish, xue, nsw, georges plains, 3220, 89, jauncey court, baptist retirement, 02 45558440, 6051233, 3, norole
779,7233,   , f, 28, 19881205, ms, kayla, coppock, vic, muckleford, 3977, 72, bonney street, , 618 74983719, 7825808, 0, norole
780,6520,   nor, f, 21, 19950406, mr, stephanie, jasperson, , ashfield, 2259, 5, maconochie crescent, , 03 63118543, 5883884, 6, norole
781,7858,   usa, f, 8, 20080511, pfc, adam, stewart, nsw, east albury, 2047, 81, archer street, , 2 67647480, 3375472, 9, norole
782,7331, usa, f, 2, 19951026, , emiily, dal , vic, ar ar t, 219 , 1 , shakespea  e crescent, , 618 92067220, 1092667, 7, norole
783,9052,   eng, m, 33, 19830514, , reeve, kay, , mosman, 5061, 24, beaney street, , 02 86265970, 7195078, 1, norole
784,5415,   unk, f, , 19960711, ms, emiily, aarnoudse, nsw, currans hill, 2219, 97, allchin circuit, , 02 64733550, 2644907, 0, norole
785,3745,   , f, 9, 20070410, dr, , nguyen, qld, arundel, 7250, 30, blackburn street, , 613 43581661, 5412020, 7, norole
786,1317-dup-2, chi, f, , 19060613, mr, bethany, hqng, wa, jerdacuttup, 3044, 10, , , 618 99429264, 7532935, 4, norole
787,5028,   eng, f, 32, 19841020, mr, anneliese, jeanes, sa, brompton, 6033, 12, weston street, , 07 10361289, 8468725, 4, norole
788,673,   chi, m, , 19631029, , jessie, fok, nt, pinelands, 2745, 13, badimara street, , 613 15729669, 7409450, 2, norole
789,7180,   ina, f, 23, 19930404, , liam, susanto, sa, upper sturt, 6026, 17, , timberscombe, 617 93675520, 1662423, 7, norole
790,3987,   usa, f, , 19631211, ms, tyler, patel, nsw, empire bay, 5070, 211, clemenger street, , 612 38303878, 1662613, 5, norole
791,3380,   swe, m, 30, 19860102, , samuel, gronhag, nsw, batehaven, 2034, 3, dash crescent, , 2 36508876, 3785987, 9, norole
792,9426,   usa, f, 34, , , jack, carson, wa, womarden, 4570, 13, hodgson crescent, , 08 31902645, 2219705, 2, norole
793,5468,   eng, f, 24, 19920131, dr, hannah, thacker, nsw, maroota, 3066, 1, grainger circuit, , 02 27647153, 4454738, 0, norole
794,8103,   usa, , 32, , mr, harrison, castro, nsw, wattamondara, 3215, 24, ashburner street, , 02 31957908, 3008225, 4, norole
795,5150-dup-1, usa, v, 35, 19810712, , shai, steqra, , atherton, 4012, 10, syme crescent, , 08 41880315, 6476857, 0, norole
796,5000,   eng, f, 32, , , alessandria, winfield, , pullenvale, 3757, 139, mccay place, , 02 30687744, 1413245, 6, norole
797,7079,   ind, f, 30, , ms, zac, kohli, qld, coppabella, 2030, 20, scrivener street, winfield estate, 03 97716181, 7969711, 3, norole
798,3191-dup-1, usa, m, 2 , 19 870801, mr, amber, lewis, ta , mean er, 228 , 4, currey st reet, sha1 mn, 617 31719792, 12427 09, 8, norole
799,7550-dup-1, eng, f, 22, 19940603, ms, ayli, chrisyanson, wa, hamersley range, 2441, 11, merriman crezend, , 08 11329669, 3086511, 0, norole
800,4782,   fin, , 26, 19901124, , riley, korkiakangas, qld, cowra, 2326, 22, antill street, miranda, 07 76039890, 7623106, 5, norole
801,8546-dup-2, eng, f, 34, 19820517, hon, lucy, scrivlrn, vic, koornalla, 3070, 91, munga place, , 08 61970171, 5193114, 9, norole
802,222, unk, f, , 19610804, ms, apey, apaty, sta, south plympton, 5044, 8, carhne place, sttoneenge, 617 60572654, 4554338, 4, norole
803,4863,   afr, , 33, 19830117, , zara, jobe, tas, chudleigh, 5571, 38, port jackson circuit, , 04 76858902, 5865115, 4, norole
804,7066,   eng, , 31, 19850919, , michael, victorsen, nsw, sofala, 2830, 1, faithfull circuit, , 02 69095430, 3190058, 6, norole
805,7340,   eng, , , 19350916, , emma, booner, qld, widgee crossing south, 3350, 17, colvin street, , 03 42096124, 8493745, 9, norole
806,5955,   usa, f, 27, 19890224, , madelyn, dalton, , belgian gardens, 0812, 14, hammond close, tudor, 03 72886380, 9487864, 1, norole
807,8887,   ind, f, 12, 20041129, ms, joshua, maudgalya, qld, upper barron, 4815, 91, drake brockman drive, wattle place, 03 55486394, 7764392, 9, norole
808,4950,   eng, f, , 19851230, ms, esther, , qld, wetheron, 2444, 13, wattle street, brentwood vlge, 3 94388009, 2562145, 2, norole
809,5913,   chi, f, 11, 20050801, pfc, sophie, sit, qld, cardiff, 5605, 10, sampson close, , 03 33712041, 1173508, 1, norole
810,7239,   unk, , 26, 19900623, , emma, abat, qld, ravenshoe, 5483, 8, castley circuit, rich meadows, 3 11389188, 2137717, 1, norole
811,7155,   iri, , 27, 19891023, , alexandra, odoyle, vic, kincumber, 4213, 2, fullagar crescent, rp 24089, 618 34610889, 1757731, 9, norole
812,2488,   usa, f, , 19601106, , hayden, rowland, nsw, taralga, 7140, 134, montagu place, barton view, 2 78089351, 9131106, 2, norole
813,7702,   usa, f, 27, 19890330, , nikki, velez, wa, wedgefield, 2607, 87, wallaroo road, mater professional centre, 8 55449903, 2333538, 4, norole
814,2840,   usa, , , 19581202, ms, bianca, hill, qld, boronia heights, 2827, 10, cotton street, , 3 31960337, 2447105, 4, norole
815,7229,   gre, f, , 19231017, , nathan, dimotsios, nsw, crystal creek, 2060, 17, rosenthal street, , 2 41899605, 2599770, 8, norole
816,4040,   eng, f, 26, 19900410, ms, olivia, isaacson, qld, kedron, 2165, 43, scobie place, , 03 96465343, 1948019, 6, norole
817,2655,   unk, f, 34, 19821016, ms, jade, abbatista, nsw, taigum, 4171, 15, euree street, , , 1446350, 9, norole
818,1339,   usa, f, , 19291211, mr, amalia, bartlett, vic, tatura, 6148, 2, gatton street, , 08 90676254, 6584482, 7, norole
819,1817,   eng, f, 26, 19900117, ms, georgia, abel, vic, forest hill, 4164, , rentoul place, , 8 08239936, 8282977, 1, norole
820,1958, unk, v, 30, 19860331, ms, harriet, scogin, nsw, upeah landjdone, 3179, 181, clonkurry street, geelong grove, 2 73304784, 9774622, 3, norole
821,1105,   usa, m, , 19971206, ms, kane, lane, wa, rockwell, 6168, 45, lachlan street, , 8 49720750, 2286542, 5, norole
822,6377,   spa, f, 32, 19841023, ms, sarah, echave, qld, thabeban, 6056, 10, baume crescent, , 613 71865471, 9470787, 6, norole
823,5503,   usa, , 28, 19881212, , charlotte, romero, vic, woodcroft, 3189, 92, , , 08 08466077, 1686627, 4, norole
824,568,   eng, f, , 19210207, , kierra, pierson, wa, success, 4304, 16, derrington crescent, , 8 00503847, 4756624, 2, norole
825,7773,   chi, f, , 19440426, , holly, peng, qld, clermont, 3071, 1, wolff crescent, sunnydale cottage, 613 11991785, 7641679, 3, norole
826,7370,   usa, f, 31, 19850109, pfc, anna, , vic, milawa, 2224, 31, appel crescent, , 618 88474978, 1442699, 3, norole
827,9376,   nor, f, 32, , , madison, arup, vic, bungeet, 2131, 78, watterson place, , 08 37185041, 2229723, 0, norole
828,9586,   chi, , 30, 19860429, , , tang, qld, hawkins creek, 5555, 3, , c w v, 613 25615898, 2319947, 5, norole
829,5457,   ind, , 31, 19850528, dr, gemaley, muthukaruppan, qld, woodgate, 4814, 38, paul coe crescent, , 3 09195003, 1123223, 2, norole
830,9932,   usa, f, 30, 19861031, ms, oliver, bryant, , goodwood, 2297, 23, george street, , 02 05673680, 8152878, 0, norole
831,4552,   eng, m, 10, 20060715, , chelsea, braddock, nsw, guerilla bay, 3150, 3, cameron street, , 2 08159626, 1776791, 2, norole
832,5635,   eng, f, 32, , , caitlin, deadman, wa, peaceful bay, 2480, 19, fawkner street, , 08 70987881, 4513399, 4, norole
833,9274,   ind, f, 23, 19930319, , charlotte, manjanatha, vic, kangaroo ground, 6525, 135, newman morris circuit, , 08 19000470, 4705289, 1, norole
834,7081,   ser, f, 21, 19950929, , kai, siladjdzic, sa, kilcoy, 2093, 9, hawdon street, , 07 22681974, 5173444, 9, norole
835,4306,   ara, m, 25, 19911219, , james, saab, wa, meadow springs, 3280, , vagabond crescent, wilsonton medical centre, 08 87982834, 1235417, 2, norole
836,8529,   eng, f, 29, 19870702, , arki, dickens, sa, lameroo, 3144, 337, blackbutt street, st francis vlge, 07 43779175, 2327921, 6, norole
837,5621,   eng, f, 25, 19910911, , charlie, hobson, qld, winwill, 4160, , wattle street, , 03 78871137, 4789321, 9, norole
838,2080,   unk, f, 35, 19810726, , lucy, aaron, nsw, waterview heights, 6008, 789, dempsey place, dalmeny vlg, 2 54424379, 2029084, 1, norole
839,8737,   unk, f, , 19871001, ms, dylan, scoby, vic, swan reach, 2611, 31, bartels place, , 08 87641885, 9087943, 7, norole
840,5481,   eng, f, 36, 19800723, ms, cooper, victor, nsw, milsons passage, 2164, 1, macrossan crescent, rocklea, 2 24894966, 3059496, 7, norole
841,4876, unk, f, 28, 19880114, , cckameron, jttrainis, njw, east ills, 3182, 46, cheel place, , 2 70908460, 6306483, 8, norole
842,3332,   eng, f, 34, 19821022, , joshua, carlyle, nt, coconut grove, 4869, 250, moorhouse street, , 613 95031360, 7573778, 2, norole
843,495,   usa, f, 35, 19810511, , ebony, rosales, wa, greenwood, 4068, 30, gallagher street, , 08 93757840, 2543909, 3, norole
844,8282,   unk, f, 22, 19940415, , jordan, strapp, vic, haddon, 3777, 3, grevillea street, , 8 73988243, 6021710, 6, norole
845,3593,   tha, , 22, 19940926, , ben, aduladej, vic, glen creek, 4171, 63, vickery street, , 8 79860865, 5887875, 3, norole
846,4997,   ira, f, 21, 19950821, mr, lucy, rouhani, nsw, silverwater, 3350, 38, wheeler crescent, abbie hae, 02 05925878, 2182935, 4, norole
847,6223,   usa, f, 28, 19880817, , bridget, herrera, , currumbin valley, 3181, , balonne street, , 02 69358406, 3302668, 3, norole
848,3204,   sri, f, 38, 19780424, , jye, nagendra, , deagon, 4503, 24, mckinley circuit, mapperley, 07 79239248, 7418864, 3, norole
849,2339,   eng, f, 34, 19820710, , riley, nathanson, nsw, mount lewis, 4740, 65, dryandra street, , 08 68462746, 7745616, 6, norole
850,746,   eng, f, 27, 19891007, pfc, hudson, goode, qld, hamilton, 2088, 12, officer crescent, wirreanda vlge, , 7471041, 8, norole
851,8064,   ind, m, , 19100820, , madeline, kadak, , manunda, 2131, 64, herington street, nazareth village, 03 77833585, 3635859, 3, norole
852,6393,   unk, f, 21, 19950531, , noah, scopel, nt, haasts bluff, 3150, 42, mcnamara street, , 3 08857723, 5549344, 3, norole
853,3300,   chi, f, 22, 19940907, , thomas, miu, , dianella, 4872, 11, enright crescent, , 07 55682612, 5418763, 5, norole
854,587,   chi, m, , , , jackson, keung, qld, augustine heights, 2043, 1, grampians street, loma, 613 86706034, 1479111, 7, norole
855,8607,   eng, , , 19630628, , joel, rupertson, sa, windsor, 2257, 47, macgillivray street, , 617 62932410, 3953821, 1, norole
856,6291,   hun, m, 29, 19870801, , naomi, b¾di, , kempsey, 4818, 81, metcalfe street, , 04 03758237, 8382134, 7, norole
857,6621,   eng, m, 28, 19881030, ms, bethany, cristians, wa, londonderry, 7250, 33, neil place, , 08 18055901, 4817242, 4, norole
858,6951,   ser, , 23, 19931108, , xani, medvesck, nsw, tomakin, 2014, 50, sheppard street, , 02 21104704, 9508573, 5, norole
859,8039,   eng, f, 33, 19830105, , ethan, tennyson, tas, golden valley, 2165, 55, sherwood circuit, , 617 48903455, 9715555, 0, norole
860,7615,   ind, f, 9, 20070203, mr, bethanie, sabeena, qld, , 5118, 12, john cleland crescent, , 613 29021676, 3362976, 4, norole
861,1409,   dan, f, , 19100725, , hugo, brÝnstedt, vic, berriwillock, 2137, 29, durville crescent, , 8 82538536, 1300100, 1, norole
862,9279,   unk, f, , 19260112, ms, cooper, aaron, vic, byaduk, 3084, 24, reveley crescent, finemore caravan park, 8 87298107, 3453695, 4, norole
863,4461,   ina, f, 31, 19850105, , cooper, tjandra, vic, boronia, 4305, 20, findlay street, , 8 66579485, 9119262, 3, norole
864,2951,   unk, f, 29, 19870305, , sybella, strainij, tas, orielton, 2021, 7, altson circuit, , , 4975122, 0, norole
865,7712,   usa, f, 29, 19871231, ms, elly, dyer, nsw, moorland, 2127, 44, mcgowan street, , 2 02058867, 1475331, 0, norole
866,409,   pak, f, 29, 19870508, mr, james, kutchi, qld, mondure, 3677, 4, clermont street, , 03 73151247, 2819248, 7, norole
867,7603,   chi, , 30, 19861114, , joe, ming, nsw, dapto, 0810, 6, snowden place, brunton, 612 09938843, 4741225, 4, norole
868,6195-dup-1, unk, f, , 19480901, pfc, tob , streckfuss, n sw, girilambone, 4560, q, litchfield place, golfcours e e trance, 02 91289983, 4533800, 1, norole
869,1391-dup-1, chi, , 3 3, 19831010, , ca1eb, ni h, , bossley park, 3 1 2, z , leichhard street, , 04 28944255, 3956317, 2, norole
870,9518,   eng, f, 30, 19861124, dr, emiily, attwater, qld, kensington grove, 2335, 14, archer street, , 03 44066947, 4560438, 4, norole
871,6,   unk, m, 32, 19841001, , mia, strahn, vic, southland centre, 4118, 83, jacka crescent, , 08 59055235, 1786283, 5, norole
872,7493, ind, f, 27, 19890325, , flynn, tarachandani, vic, wejdmeadowz, 3268, , duvfy ztreet, , 08 19015387, 3652231, 7, norole
873,5968,   por, f, , 19231007, , jasper, pauleta, qld, south ripley, 2193, 75, farrelly close, , 613 25220148, 2713042, 7, norole
874,978-dup-1, unk, f, 10, 20060713, ms, z  i, aar  , nsw, pelaw main, 5573, 4 , ord st e t, , 612 68197493, 85524 2, 9, norole
875,628, chi, f, 27, 19890402, dr, jack, xu n, qld, mount l ouisa, 6169, 7, higgins c   escent, city cen re plaza, 61356064633, 9361130, 4, norole
876,1978,   ara, , 31, 19851111, , oscar, tabinda, vic, lysterfield, 2350, 53, keira street, , 08 43333019, 3082183, 2, norole
877,4217,   ira, f, 35, 19810317, , aidyn, jamali, wa, east augusta, 2009, , bingley crescent, oivi, 618 63976419, 6362893, 2, norole
878,5086,   unk, f, , 19561224, , michael, abadi, qld, bellbowrie, 3076, 44, bugden avenue, glendower, 03 63640726, 6637894, 2, norole
879,5321,   chi, f, 26, 19900726, mr, taylor, hsia, nsw, grassy head, , 17, clamp place, , 2 10973583, 7391003, 4, norole
880,9901,   tha, f, 36, 19800818, dr, millie, tomson, act, st albans, 2125, 106, bennett street, , 02 51128702, 9385810, 6, norole
881,8713,   unk, , 41, 19750524, , mila, scirri, qld, , 6059, 17, mcfarlan place, , 3 56404054, 9545423, 0, norole
882,1043,   chi, f, , 19610715, ms, alexander, guao, vic, keilor downs, 4053, 436, macdonnell street, agarabi, 618 36080648, 3790699, 3, norole
883,438,   ger, f, 34, 19821011, , thomas, schluetter, tas, lemont, 2560, 172, jess place, , 02 07109721, 6309002, 1, norole
884,2635,   usa, f, 28, 19880717, ms, taylah, christian, vic, winchelsea, 5091, 4, collings street, cadogan, 618 17419591, 9102883, 6, norole
885,9304,   eng, f, 27, , , jessica, victor, nsw, sandy bay, 2148, 55, were street, , 02 29897135, 4642820, 3, norole
886,8210,   eng, f, 25, 19910206, , isabella, victorsen, nsw, adaminaby, 3857, 29, kanooka street, , 2 26677210, 8121559, 5, norole
887,560,   usa, f, 13, 20030717, , samantha, jacobson, wa, oxley vale, 4110, 10, pimpampa close, kiandra, 8 98609715, 4734561, 2, norole
888,4352,   usa, f, 30, , ms, alexander, hoffman, vic, dartmouth, 2602, 21, goble street, , 07 19059706, 9282500, 9, norole
889,5464,   usa, f, 21, 19950102, , elli, hooper, nsw, ruse, 3095, 9, badcoe street, , 02 96410560, 5835127, 2, norole
890,2353-dup-1, ina, , 33, 19830629, , cheree, jeiawan, sa, paahck holme, 2530, 20, awker jdreet, hkp, 07 70652596, 5318750, 4, norole
891,2743,   chi, f, , 19711119, ms, makenzi, suen, sa, upper sturt, 4816, 109, macnamara place, , 07 04553750, 2930654, 7, norole
892,1874,   gre, f, 27, , mr, david, louca, vic, culgoa, 2250, 27, warring place, cleveland, 618 33396666, 6721548, 8, norole
893,2441,   chi, f, 32, 19841228, , rachael, gai, qld, mona park, 2074, , oakover circuit, mayfair, 3 37757046, 4598945, 7, norole
894,3800,   eng, f, 31, 19850810, , chloe, styles, sa, mallala, 2905, 6, powell street, , 07 44215070, 5661074, 7, norole
895,8531,   ind, m, 30, 19860227, hon, william, murugan, vic, hedley, 4178, , horsley crescent, kieta, 07 61894907, 7274604, 7, norole
896,3223,   usa, , 37, 19790122, ms, samantha, dennis, nsw, dora creek, 3300, 9, mcmaster street, locn 316, 02 83675123, 4546954, 2, norole
897,9303,   usa, f, 26, 19900315, mr, casey, berg, , kinross, 2280, 34, britten-jones drive, , 07 84553474, 7302677, 3, norole
898,8258,   usa, f, 24, 19920604, , claudia, kirby, tas, montrose, 2099, 55, muir close, , 7 37151860, 7750371, 9, norole
899,7199,   ind, , 26, 19900317, , james, , nsw, boreen point, 3130, 23, newton street, , 02 70302415, 8314611, 6, norole
900,3613,   jew, f, 32, , , tayah, hyamson, , ernest, 3084, 11, astrolabe street, , 04 23303805, 8621154, 6, norole
901,8562,   usa, , 30, 19860226, ms, benjamin, barr, vic, eumemmerring, 2800, 1, damala street, , 8 71499698, 5122961, 5, norole
902,3902,   pol, f, 32, 19840528, dr, daniel, charnowski, vic, eaglehawk, 2147, 30, jervois street, unt 2, 08 57992449, 7130484, 1, norole
903,6133,   swe, , , 19980224, , courtney, carlsson, qld, daydream island, 2804, 28, jabanungga avenue, nurock, 613 78516255, 4681755, 8, norole
904,3414,   usa, f, 29, 19870322, , , roberts, nsw, adaminaby, 3138, 1, shackleton circuit, , 612 07627369, 4890486, 0, norole
905,8313-dup-1, , m,  2 9, 19870803, , iack, edmea es, vic, souther cross, 42  , 67, tazewell  ircuit, , 618 04339491, 1718869, 5, norole
906,2462,   chi, , 27, 19890108, ms, taylor, liou, nsw, walbundrie, 4221, 21, hirschfeld crescent, , 02 01351326, 9221838, 7, norole
907,5374, eng, f, 21, 19951108, , flynn, gartiner, nd, castuarina (po boxes), 2216, 49, muresk sdreet, , 3 67428171, 5974704, 5, norole
908,503,   chi, f, 21, 19950620, , jacob, awyong, wa, preston, 5167, 20, jerrabomberra avenue, , 618 48815538, 2143527, 7, norole
909,7364,   unk, m, 25, 19910924, , lauren, aakre, sa, wangary, 4740, 46, smeaton circuit, , 617 36674284, 6371326, 7, norole
910,2330, iri, f, 31, 19850525, , isab   lle, ocleirigh, vic, cairn l ea, 315 , 9, ballumb ir street, , 08 36072660, 1688483, 8, norole
911,861,   chi, f, 26, 19901024, , rebekah, zhan, vic, yannathan, 4880, 86, blamey crescent, brentwood vlge, 08 18533933, 4414380, 2, norole
912,8363,   unk, f, , 19881017, ms, cameron, schwanke, wa, muja, 2065, 27, worrell place, , 08 33636397, 6101016, 2, norole
913,1454,   eng, f, 41, 19750106, pfc, clement, hackett, vic, bundalaguah, 4814, 7, powers place, , 618 01156269, 7452380, 3, norole
914,9724,   ger, m, , 19000119, , , weishoff, vic, little river, 2036, 90, kingston street, sec 203, 08 72667935, 2130481, 1, norole
915,518,   ger, f, , 19490105, , thomas, hanfling, , castlemaine, 2259, 71, britten-jones drive, camusfearna, 03 29985720, 8257457, 8, norole
916,4394,   eng, m, , 19701007, hon, daniel, hyland, qld, killarney, 2776, 17, rischbieth crescent, , 03 46381693, 1328380, 7, norole
917,1630,   usa, f, , 19561027, ms, emiily, , nsw, tocumwal, 2155, 200, wakelin circuit, , 02 39272798, 2861538, 9, norole
918,1720,   eng, f, 28, , , ebonie, michaels, qld, glenaven, 2077, 33, madigan street, oxonia, 03 64773329, 3985882, 8, norole
919,1913,   usa, , 32, 19840607, , tayla, summers, nsw, coffs harbour, 6163, 20, clare dennis avenue, , 2 87487565, 5944473, 9, norole
920,3976,   ger, , 32, 19841025, ms, caitlin, schulhauser, tas, avoca, 5162, 9, allambee street, montessa heights, 617 21688900, 1898825, 7, norole
921,8285,   usa, f, 35, 19810220, mr, kiana, key, , berkeley vale, 2000, 10, inlander crescent, altona, 08 42833519, 7576865, 5, norole
922,586,   eng, m, 23, 19930201, , campbell, matheson, qld, cypress gardens, 2519, 129, moore street, , 613 47795703, 1606823, 5, norole
923,1964-dup-2, usa, m, , 19740606, , travis, li, sa, brukunlgna, 3639, 31, allchin circuit, , , 9461369, 8, norole
924,6296,   eng, , 29, 19870416, ms, emma, trevis, nsw, elsmore, 4169, 248, bulli place, morocco, 2 46764319, 4949617, 5, norole
925,2576,   eng, f, 20, 19960322, ms, madison, oliverson, nsw, korora, 6021, 16, piguenit close, , 02 84523779, 8095585, 7, norole
926,1204,   chi, f, 12, 20040707, ms, oliver, thien, nsw, camellia, 4740, 9, de smet place, , 2 19456939, 2863710, 3, norole
927,7480,   ind, f, , 19430412, dr, danjel, kaisth, vic, cottles bridge, 2489, 60, macdonnell street, minnavale, 8 61399338, 1657688, 9, norole
928,1326,   usa, , 25, 19910221, ms, george, byrd, nsw, bonalbo, 3976, 23, , , 02 27315218, 5598124, 5, norole
929,348,   hun, f, , 19640722, ms, noah, andras, vic, ellerslie, 2011, 72, preddey way, , 618 90626277, 1367568, 4, norole
930,3984,   eng, , 33, 19831111, ms, owen, bateson, nsw, leonay, 4216, 23, yates garden, ra 23076, 2 08648939, 1152854, 9, norole
931,5495,   chi, f, 27, 19890704, , holly, yap, , beaumaris, 4205, 16, finnerty place, jinderoo, 03 49318734, 5398916, 8, norole
932,1851,   usa, f, 22, , , barnaby, marsh, , katherine, 5050, 11, star close, campaspe, 07 64364217, 9874723, 2, norole
933,589,   unk, f, 35, , , erin, sciacca, nsw, lawrence, 6110, 63, brunswick circuit, , 02 72068344, 4670066, 0, norole
934,8686,   , f, 24, 19921124, ms, joel, roxburgh, qld, woolooga, 5022, 25, pinkerton circuit, , 03 12234411, 7277999, 8, norole
935,3694,   afr, f, 31, 19850115, , finn, pretorius, vic, tarneit, 6007, 7, , , 8 30118262, 6836170, 4, norole
936,4864,   ger, f, , 19550406, , ethan, silverstein, nsw, mullaley, 6055, 51, sellwood street, lochs, 08 48407831, 1103190, 0, norole
937,9247,   eng, f, 32, 19840807, , esther, dukeson, wa, mardella, 2138, 5, allan street, brentwood vlge, 8 09377631, 6584055, 9, norole
938,7182,   eng, f, 28, 19881026, , joshua, badcoke, vic, manifold heights, 2582, 20, waite street, , 618 76699999, 6045259, 3, norole
939,1317,   chi, f, , 19881009, mr, bethany, hung, wa, jerdacuttup, 3044, 10, erldunda circuit, , 618 99429264, 7532935, 4, norole
940,1713,   unk, , , 19930109, pfc, ellen, aballon, qld, grapetree, 3337, 16, swinden street, , 3 56978630, 6322303, 6, norole
941,9873-dup-2, unk, m, 2, 19930824, , charlotte, aloallon, nsw, marananga, 503, 4 , handcock cr escent, , 02 82 752243, 635 4047, 1, norole
942,259,   usa, f, 27, 19890411, , sophie, robles, vic, boort, 3002, 77, riley place, mamaregu, 08 06040790, 2794819, 9, norole
943,9199,   unk, f, 29, 19870818, hon, , aarcy, nsw, lake heights, 3636, 51, forbes street, , 612 94956906, 7673376, 8, norole
944,4991,   , , 34, 19820912, mr, lachlan, tomney, nsw, dalwood, 6121, , lambell close, sheep station, 2 06233636, 1279490, 0, norole
